Feature1_time,"Feature1_[x,y]",Feature2_time,"Feature2_[x,y]"
0,"[0.80, 0.66]",0,"[nan, nan]"
1,"[0.79, 0.66]",1,"[nan, nan]"
2,"[0.79, 0.67]",2,"[nan, nan]"
3,"[0.78, 0.67]",3,"[nan, nan]"
4,"[0.77, 0.68]",4,"[nan, nan]"
5,"[0.76, 0.68]",5,"[0.81, 0.67]"
6,"[0.75, 0.69]",6,"[0.80, 0.68]"
7,"[0.74, 0.69]",7,"[0.80, 0.68]"
8,"[0.73, 0.70]",8,"[0.79, 0.68]"
9,"[0.72, 0.70]",9,"[0.78, 0.69]"
10,"[0.72, 0.71]",10,"[0.77, 0.69]"
11,"[0.71, 0.72]",11,"[0.76, 0.70]"
12,"[0.70, 0.74]",12,"[0.75, 0.71]"
13,"[0.70, 0.74]",13,"[0.75, 0.71]"
14,"[0.69, 0.75]",14,"[0.75, 0.71]"
15,"[0.68, 0.75]",15,"[0.74, 0.72]"
16,"[0.67, 0.76]",16,"[0.74, 0.71]"
17,"[0.67, 0.76]",17,"[0.74, 0.71]"
18,"[0.66, 0.76]",18,"[0.74, 0.71]"
19,"[0.66, 0.75]",19,"[0.74, 0.70]"
20,"[0.66, 0.76]",20,"[0.75, 0.68]"
21,"[0.66, 0.77]",21,"[0.77, 0.65]"
22,"[0.67, 0.77]",22,"[0.78, 0.62]"
23,"[0.68, 0.77]",23,"[0.79, 0.61]"
24,"[0.68, 0.77]",24,"[0.79, 0.61]"
25,"[0.70, 0.79]",25,"[0.80, 0.57]"
26,"[0.74, 0.78]",26,"[0.82, 0.55]"
27,"[0.76, 0.77]",27,"[0.83, 0.54]"
28,"[0.78, 0.78]",28,"[0.84, 0.52]"
29,"[0.79, 0.79]",29,"[0.84, 0.52]"
30,"[0.79, 0.80]",30,"[0.85, 0.52]"
31,"[0.81, 0.81]",31,"[0.86, 0.51]"
32,"[0.83, 0.80]",32,"[0.87, 0.53]"
33,"[0.85, 0.82]",33,"[0.88, 0.57]"
34,"[0.85, 0.84]",34,"[0.88, 0.59]"
35,"[0.86, 0.86]",35,"[0.89, 0.60]"
36,"[0.85, 0.92]",36,"[0.89, 0.70]"
37,"[0.84, 0.97]",37,"[0.90, 0.83]"
38,"[0.83, 0.98]",38,"[0.91, 0.83]"
39,"[0.83, 0.98]",39,"[0.95, 0.89]"
40,"[0.83, 0.98]",40,"[0.95, 0.89]"
41,"[0.83, 0.98]",41,"[0.95, 0.89]"
42,"[0.83, 0.98]",42,"[0.95, 0.89]"
43,"[0.83, 0.98]",43,"[0.95, 0.89]"
44,"[0.83, 0.98]",44,"[0.95, 0.89]"
45,"[0.83, 0.98]",45,"[0.95, 0.89]"
46,"[0.83, 0.98]",46,"[0.95, 0.89]"
47,"[0.83, 0.98]",47,"[0.95, 0.89]"
48,"[0.83, 0.98]",48,"[0.95, 0.89]"
49,"[0.83, 0.98]",49,"[0.95, 0.89]"
50,"[0.83, 0.98]",50,"[0.95, 0.89]"
51,"[0.83, 0.98]",51,"[0.95, 0.89]"
52,"[0.83, 0.98]",52,"[0.95, 0.89]"
53,"[0.83, 0.98]",53,"[0.95, 0.89]"
